Player 1,Player 2,Similarity
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","B. Riascos (28, Marítimo, Primeira Liga 22-23)",66.7091463994532
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","I. Jebali (31, Gamba Osaka, J1 2023)",73.61740016126242
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","D. Antyukh (25, Zorya, Ukrainian Premier Liha 22-23)",45.02266288402357
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","A. Ilić (23, RFS, Virsliga 2023)",55.36565758901847
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","D. Ragatzu (31, Olbia, Serie C 22-23)",32.44607679152436
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","M. Obradović (31, Spartak Subotica, Serbian SuperLiga 22-23)",65.5511928502138
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","T. Tomiyama (32, Omiya Ardija, J2 2023)",36.623542899525255
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","S. Jaziri (30, Zamalek, Egyptian Premier League 22-23)",42.46468413315731
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","H. Abdallah (25, Excelsior Virton, Belgian First Division B 22-23)",56.55361121926637
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","V. Kušej (22, Mladá Boleslav, Czech Fortuna Liga 22-23)",63.94607027528393
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","J. Cooper (27, Linfield, Northern Ireland Premiership 22-23)",60.10017700367193
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","M. Malka (32, Hapoel Nof HaGalil, Liga Leumit 22-23)",25.998320688851045
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","Maurício Garcez (26, CSKA Sofia, Bulgarian First League 22-23)",50.641209501066754
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","Borja Iglesias (30, Real Betis, La Liga 22-23)",54.83713117241474
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","Wendel (22, Porto II, Portugal Segunda Liga 22-23)",68.26914088582073
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","J. Arak (28, Katowice, Polish I Liga 22-23)",53.80361601836334
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","K. Vaesen (22, Westerlo, Belgian Pro League 22-23)",46.4810333943153
"A. Tremolada (23, Arzignano Valchiampo, Serie C 22-23)","G. Petrosyan (21, BKMA, Armenian Premier League 22-23)",70.45655684686736
