Player 1,Player 2,Similarity
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","M. Wright (20, Falkirk, Scottish League One 22-23)",31.62148451747172
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","R. Gamildien (34, Royal AM, South Africa PSL 22-23)",40.971281940321774
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","F. Magri (23, Bastia, Ligue 2 22-23)",45.37354645879778
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","G. Plet (36, Telstar, Eerste Divisie 22-23)",43.61278438440984
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","R. Dinolis (28, Plaza Amador, Panama LPF 2023)",70.69669479276097
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","M. Campos (31, Everton, Chilean Primera División 2023)",57.47041637413531
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","H. Kisekka (33, Aizawl, I-League 22-23)",60.16779693079245
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","S. Lavery (24, Blackpool, Championship 22-23)",46.17124659855713
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","M. Saavedra (30, Atlético Chiriquí, Panama LPF 2023)",52.52223226475981
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","Brandão (32, Hoang Anh Gia Lai, V League 1 2023)",60.87107988894351
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","José Luis Morales (35, Villarreal, La Liga 22-23)",58.418562340355386
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","A. Petagna (27, Monza, Serie A 22-23)",43.28498206750658
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","T. Sakai (27, Nara Club, J3 2023)",53.99197648280275
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","B. Mkaddem (25, CA Bizertin, Tunisian Ligue 1 22-23)",27.102192734792556
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","R. Buess (30, Winterthur, Swiss Super League 22-23)",30.584396645001544
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","Pedro Benito (23, UD Sanse, Primera División RFEF 22-23)",27.17770587135144
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","A. Yodsangwal (21, Lamphun Warrior, Thai League 1 22-23)",69.481502989138
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","M. Niang (28, Auxerre, Ligue 1 22-23)",25.80016393561157
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","A. Mendy (29, Caen, Ligue 2 22-23)",35.030766213182815
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","E. Volpicelli (30, Sangiuliano City, Serie C 22-23)",47.16995032231514
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","D. Lom (25, Xelajú, Guatemala Liga Nacional 22-23)",40.329797881773246
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","F. Dionisi (35, Ascoli, Serie B 22-23)",84.02553593676
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","A. Spagnoli (28, Ancona, Serie C 22-23)",48.64729528501447
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","Marc Álvarez (21, Gimnàstic Tarragona, Primera División RFEF 22-23)",74.4474678183493
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","A. Boiciuc (25, AS FC Buzău, Romanian Liga II 22-23)",61.37086882956336
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","V. Mantzis (31, Ionikos, Greek Super League 22-23)",51.60938879696293
"B. Abdurahimi (32, Pafos, Cyprus 1. Division 22-23)","D. Churín (33, Cerro Porteño, Paraguay Division Profesional 2023)",12.337537584776994
