Player 1,Player 2,Similarity
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","S. Braken (29, VVV Venlo, Eerste Divisie 22-23)",89.9873691231301
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","S. Teranuma (22, Mito Hollyhock, J2 2023)",87.11020092002404
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","K. Duah (26, Nürnberg, 2. Bundesliga 22-23)",71.41618561339156
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","Y. En-Nesyri (26, Sevilla, La Liga 22-23)",72.2586958157439
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","Patric (35, Kyoto Sanga, J1 2023)",74.42132039379075
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","D. Jurić (25, Rijeka, 1. HNL 22-23)",60.93128880155456
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","T. Parrott (21, Preston North End, Championship 22-23)",52.46007126542544
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","T. Orebonye (27, Khouribga, Botola Pro 22-23)",70.2632043945394
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","E. Nevitt (27, Crewe Alexandra, League Two 22-23)",76.25831598602846
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","I. Pikis (22, Akritas, Cyprus 1. Division 22-23)",70.33818085762282
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","C. Lungoyi (22, Ascoli, Serie B 22-23)",40.01061842618069
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","G. Ugwu (30, Jeddah, Saudi First Division 22-23)",79.47583260169138
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","Yasin Hamed (23, Békéscsaba, NB II 22-23)",69.63339260405368
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","D. Popa (27, Chindia Târgovişte, SuperLiga României 22-23)",83.66923928768392
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","L. Kulenović (23, Sloga Doboj, Bosnian Premier League 22-23)",72.72898208453104
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","P. Engblom (31, GIF Sundsvall, Superettan 2023)",70.39935429584091
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","Rubén Enri (25, Cornellà, Primera División RFEF 22-23)",57.6245676981733
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","R. Ripart (30, Troyes, Ligue 1 22-23)",74.45337123674976
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","R. Pandre (28, Kenkre, I-League 22-23)",55.912787128086585
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","J. Reid (28, Stevenage, League Two 22-23)",80.41274825770303
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","R. Martínez (27, Platense, Argentinian Primera División 2023)",60.165693952355696
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","A. Gevorkyan (30, Shirak, Armenian Premier League 22-23)",62.34195438281775
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","S. Longo (22, Turris, Serie C 22-23)",72.87201354327745
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","D. Hughes (30, Newry City AFC, Northern Ireland Premiership 22-23)",74.40533769230763
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","Pablo García (25, Ceuta, Primera División RFEF 22-23)",33.35016307609869
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","S. Smith (25, Cambridge United, League One 22-23)",81.33852165309408
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","P. Gorgiev (28, Sileks, North Macedonia First League 22-23)",82.04738410680812
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","A. Rolfini (26, Vicenza, Serie C 22-23)",72.42671473777924
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","R. Becerra (35, Deportivo Cuenca, Ecuador Liga Pro 2023)",60.832283714338246
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","G. Pantsulaia (29, Kaspyi, Kazakh Premier League 2023)",47.87041788846309
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","J. Pohjanpalo (28, Venezia, Serie B 22-23)",84.26298927103011
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","P. Owusu (26, Jahn Regensburg, 2. Bundesliga 22-23)",87.04932466290764
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","I. Sokolov (21, Shinnik, Russian FNL 2 22-23)",53.33286404702579
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","J. Arp (23, Holstein Kiel, 2. Bundesliga 22-23)",35.050947833736934
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","E. Koljič (27, Universitatea Craiova, SuperLiga României 22-23)",87.37479792505273
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","F. Melchiorri (36, Ancona, Serie C 22-23)",53.74123504969832
"B. Lovrencsics (31, Soroksár SC, NB II 22-23)","B. Miovski (23, Aberdeen, Scottish Premiership 22-23)",83.86594612729
