Player 1,Player 2,Similarity
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","D. Origi (28, Milan, Serie A 22-23)",45.01972882144522
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","Juan Muñoz (27, Leganés, La Liga 2 22-23)",45.18969309337918
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","K. Daci (24, Teuta Durrës, Albanian Premier League 22-23)",49.87409471691656
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","M. Pavkov (29, Al Feiha, Saudi Professional League 22-23)",46.951047543899385
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","Maxuell (31, Gzira United, Malta Premier League 22-23)",53.67586880761768
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","K. Kask (23, Pärnu JK Vaprus, Estonian Meistriliiga 2023)",15.77316097335052
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","B. Armoa (23, Tigre, Argentinian Primera División 2023)",67.87920001966138
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","D. Taylor (19, Burton Albion, League One 22-23)",52.9302946251112
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","A. Mitrović (28, Fulham, Premier League 22-23)",60.356936875702615
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","T. Yordanov (24, Beroe, Bulgarian First League 22-23)",37.24903769990924
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","Fer Niño (22, Villarreal B, La Liga 2 22-23)",27.263272065218157
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","P. Slišković (32, Chennaiyin FC, Indian Super League 22-23)",53.447848212406925
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","B. Lessy (23, Barito Putera, BRI Liga 1 22-23)",61.30716491717359
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","M. Abline (20, Auxerre, Ligue 1 22-23)",56.46254000281287
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","M. Salas (25, Palestino, Chilean Primera División 2023)",61.79501565958757
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","M. Sahd (29, FAR Rabat, Botola Pro 22-23)",47.18070261174844
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","I. Krstanović (40, Slaven Belupo, 1. HNL 22-23)",61.096960839913336
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","M. Torres (25, Akritas, Cyprus 1. Division 22-23)",46.27504741300934
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","F. Lakay (26, Pyramids Al Ahram FC, Egyptian Premier League 22-23)",43.46913348591943
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","J. Okoli (25, Al Mokawloon, Egyptian Premier League 22-23)",58.04354712355174
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","A. Gunnes (25, Ranheim, OBOS Ligaen 2023)",30.561610102494363
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","K. Piscopo (25, Pordenone, Serie C 22-23)",71.09401674836158
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","J. Ngoy (25, Mechelen, Belgian Pro League 22-23)",44.04575726163547
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","A. Douvikas (23, Utrecht, Eredivisie 22-23)",58.76225596742027
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","E. Manu (29, Botev Plovdiv, Bulgarian First League 22-23)",44.76560335290827
"C. Shields (25, Queen's Park, Scottish Championship 22-23)","M. Rymarenko (24, Dukla Banská Bystrica, Slovak Super Liga 22-23)",56.61458605446344
