Player 1,Player 2,Similarity
"C. Wilkinson (28, Walsall, League Two 22-23)","José Ángel Carrillo (29, Huesca, La Liga 2 22-23)",73.88687962861583
"C. Wilkinson (28, Walsall, League Two 22-23)","D. Johnson (30, Mansfield Town, League Two 22-23)",73.09432253114281
"C. Wilkinson (28, Walsall, League Two 22-23)","M. Đurić (33, Hellas Verona, Serie A 22-23)",75.65281786234503
"C. Wilkinson (28, Walsall, League Two 22-23)","F. Noccioli (23, San Donato Tavarnelle, Serie C 22-23)",62.83135406527936
"C. Wilkinson (28, Walsall, League Two 22-23)","Bruno Mota (27, Cheonan City, K League 2 2023)",87.19180385666156
"C. Wilkinson (28, Walsall, League Two 22-23)","O. Duarte (27, Jaguares de Córdoba, Colombian Primera Division 22-23)",65.10131911888419
"C. Wilkinson (28, Walsall, League Two 22-23)","I. Ugbo (24, Troyes, Ligue 1 22-23)",61.03771154567886
"C. Wilkinson (28, Walsall, League Two 22-23)","K. Kouassi (19, Sutton United, League Two 22-23)",58.07946280167992
"C. Wilkinson (28, Walsall, League Two 22-23)","M. Pink (32, Austria Klagenfurt, Austrian Bundesliga 22-23)",86.36206493835115
"C. Wilkinson (28, Walsall, League Two 22-23)","C. Monschein (30, Ried, Austrian Bundesliga 22-23)",71.59950072256458
"C. Wilkinson (28, Walsall, League Two 22-23)","A. Sitalo (33, Inhulets, Ukrainian Premier Liha 22-23)",80.97338720655253
"C. Wilkinson (28, Walsall, League Two 22-23)","A. Williams (36, Walsall, League Two 22-23)",78.10689928969138
"C. Wilkinson (28, Walsall, League Two 22-23)","R. Nemoto (23, Tochigi, J2 2023)",79.06377207599706
"C. Wilkinson (28, Walsall, League Two 22-23)","A. Yakubu (24, Rio Ave, Primeira Liga 22-23)",80.04658152732856
"C. Wilkinson (28, Walsall, League Two 22-23)","L. Østerby Skjellerup (20, Hobro, Danish 1. Division 22-23)",71.99528918922653
"C. Wilkinson (28, Walsall, League Two 22-23)","G. Cooper (25, Chindia Târgovişte, SuperLiga României 22-23)",67.70680687479405
"C. Wilkinson (28, Walsall, League Two 22-23)","Antoñín Cortés (23, Anorthosis, Cyprus 1. Division 22-23)",73.95501402058316
"C. Wilkinson (28, Walsall, League Two 22-23)","G. Leyes (33, Academia Cantolao, Peruvian Liga 1 2023)",89.8878600834806
"C. Wilkinson (28, Walsall, League Two 22-23)","D. Hylton (34, Northampton Town, League Two 22-23)",60.32061287087856
"C. Wilkinson (28, Walsall, League Two 22-23)","F. Bohman (26, Trelleborg, Superettan 2023)",75.32448118470916
"C. Wilkinson (28, Walsall, League Two 22-23)","K. Connell (21, Raith Rovers, Scottish Championship 22-23)",71.45397135968628
"C. Wilkinson (28, Walsall, League Two 22-23)","J. Zuñiga (29, Xinabajul, Guatemala Liga Nacional 22-23)",60.94323747062944
"C. Wilkinson (28, Walsall, League Two 22-23)","T. Hopper (29, Colchester United, League Two 22-23)",72.39037870326183
"C. Wilkinson (28, Walsall, League Two 22-23)","M. Egho (29, Randers, Superliga 22-23)",80.09631312704151
"C. Wilkinson (28, Walsall, League Two 22-23)","M. Hornyák (29, Csákvári TK, NB II 22-23)",83.15128102479996
"C. Wilkinson (28, Walsall, League Two 22-23)","M. van Duinen (31, Excelsior, Eredivisie 22-23)",86.97902237781682
"C. Wilkinson (28, Walsall, League Two 22-23)","L. Bekui (28, Al Sahel, Saudi First Division 22-23)",67.04751261234459
"C. Wilkinson (28, Walsall, League Two 22-23)","Vitor (25, Najran, Saudi First Division 22-23)",66.91031649987221
"C. Wilkinson (28, Walsall, League Two 22-23)","M. Jurina (29, Al Faisaly, Saudi First Division 22-23)",67.31956692736405
