Player 1,Player 2,Similarity
"D. Giampaolo (27, Recanatese, Serie C 22-23)","P. Veelma (21, Tartu Tammeka, Estonian Meistriliiga 2023)",66.30907489104533
"D. Giampaolo (27, Recanatese, Serie C 22-23)","J. Akinde (33, Colchester United, League Two 22-23)",44.98067922409941
"D. Giampaolo (27, Recanatese, Serie C 22-23)","V. Rozic (19, Posušje, Bosnian Premier League 22-23)",71.25013536443623
"D. Giampaolo (27, Recanatese, Serie C 22-23)","F. Hornby (23, Oostende, Belgian Pro League 22-23)",54.4008104843007
"D. Giampaolo (27, Recanatese, Serie C 22-23)","L. Armstrong (26, Harrogate Town, League Two 22-23)",32.28134323315462
"D. Giampaolo (27, Recanatese, Serie C 22-23)","M. Khatib (27, Hapoel Hadera, Ligat Ha'al 22-23)",36.943289734989214
"D. Giampaolo (27, Recanatese, Serie C 22-23)","A. Adams (23, Lillestrøm, Eliteserien 2023)",54.402500856621614
"D. Giampaolo (27, Recanatese, Serie C 22-23)","Diego García (23, Fuenlabrada, Primera División RFEF 22-23)",43.56571551988778
"D. Giampaolo (27, Recanatese, Serie C 22-23)","Y. Meïté (27, Reading, Championship 22-23)",58.30268021590093
"D. Giampaolo (27, Recanatese, Serie C 22-23)","D. Furukawa (23, Osaka, J3 2023)",48.24632758831434
"D. Giampaolo (27, Recanatese, Serie C 22-23)","Nyasha Mushekwi (35, Zhejiang Professional, Chinese Super League 2023)",53.01512185087716
"D. Giampaolo (27, Recanatese, Serie C 22-23)","O. Bilel (22, AS Soliman, Tunisian Ligue 1 22-23)",41.68231984294013
"D. Giampaolo (27, Recanatese, Serie C 22-23)","M. Heider (37, Osnabrück, 3. Liga 22-23)",54.67875746300431
"D. Giampaolo (27, Recanatese, Serie C 22-23)","T. Chorý (28, Viktoria Plzeň, Czech Fortuna Liga 22-23)",43.312737293525046
"D. Giampaolo (27, Recanatese, Serie C 22-23)","C. Zúñiga (31, Pérez Zeledón, Costa Rica Primera División 22-23)",58.7964551427763
"D. Giampaolo (27, Recanatese, Serie C 22-23)","C. De Sena (31, Gelbison, Serie C 22-23)",53.98724253372177
"D. Giampaolo (27, Recanatese, Serie C 22-23)","M. Fabbro (27, Virtus Verona, Serie C 22-23)",65.1603169598309
"D. Giampaolo (27, Recanatese, Serie C 22-23)","C. Fenninger (28, Bayreuth, 3. Liga 22-23)",47.42740019762772
"D. Giampaolo (27, Recanatese, Serie C 22-23)","A. Rayan (21, Hapoel Acre, Liga Leumit 22-23)",70.71996600571586
"D. Giampaolo (27, Recanatese, Serie C 22-23)","R. Taylor (35, Grimsby Town, League Two 22-23)",33.39577391858998
"D. Giampaolo (27, Recanatese, Serie C 22-23)","E. Soleri (25, Palermo, Serie B 22-23)",47.75062038349684
"D. Giampaolo (27, Recanatese, Serie C 22-23)","M. Noubissi (26, Valenciennes, Ligue 2 22-23)",44.04134976644225
"D. Giampaolo (27, Recanatese, Serie C 22-23)","R. Arita (23, Iwaki, J2 2023)",52.1797594311587
"D. Giampaolo (27, Recanatese, Serie C 22-23)","Eneko Jauregi (26, Amorebieta, Primera División RFEF 22-23)",42.7146747665231
"D. Giampaolo (27, Recanatese, Serie C 22-23)","P. Hoban (31, Dundalk, League of Ireland PL 2023)",38.89594540529658
"D. Giampaolo (27, Recanatese, Serie C 22-23)","Pablo Fernández (26, Gimnàstic Tarragona, Primera División RFEF 22-23)",46.87945313000376
"D. Giampaolo (27, Recanatese, Serie C 22-23)","D. Telford (26, Crawley Town, League Two 22-23)",34.952726181411414
"D. Giampaolo (27, Recanatese, Serie C 22-23)","A. Arrighini (32, Pro Vercelli, Serie C 22-23)",60.70963706721301
"D. Giampaolo (27, Recanatese, Serie C 22-23)","L. Perez (33, Messina, Serie C 22-23)",60.04639982004769
"D. Giampaolo (27, Recanatese, Serie C 22-23)","A. Yildirim (28, Jahn Regensburg, 2. Bundesliga 22-23)",60.6874565451546
"D. Giampaolo (27, Recanatese, Serie C 22-23)","S. Istrati (34, Milsami, Moldovan Super Liga 22-23)",39.9482924014326
"D. Giampaolo (27, Recanatese, Serie C 22-23)","P. Bacsa (30, Kazincbarcika, NB II 22-23)",40.38984283844108
"D. Giampaolo (27, Recanatese, Serie C 22-23)","A. Bianchimano (26, Lucchese, Serie C 22-23)",41.908070080157
"D. Giampaolo (27, Recanatese, Serie C 22-23)","F. Lohkemper (28, Nürnberg, 2. Bundesliga 22-23)",59.49453327970304
"D. Giampaolo (27, Recanatese, Serie C 22-23)","E. Torregrossa (30, Pisa, Serie B 22-23)",36.83181340951889
"D. Giampaolo (27, Recanatese, Serie C 22-23)","S. Camara (25, Botoşani, SuperLiga României 22-23)",48.59998191544089
"D. Giampaolo (27, Recanatese, Serie C 22-23)","J. Romo (29, AEL, Cyprus 1. Division 22-23)",40.69401527734208
"D. Giampaolo (27, Recanatese, Serie C 22-23)","L. Gondou (21, Sarmiento, Argentinian Primera División 2023)",63.12273672683271
"D. Giampaolo (27, Recanatese, Serie C 22-23)","C. Malele (29, Shanghai Shenhua, Chinese Super League 2023)",49.58408429505818
"D. Giampaolo (27, Recanatese, Serie C 22-23)","A. Helmersen (25, Raufoss, OBOS Ligaen 2023)",48.08333713744301
"D. Giampaolo (27, Recanatese, Serie C 22-23)","C. Paterson (28, Sheffield Wednesday, League One 22-23)",48.07877442816888
"D. Giampaolo (27, Recanatese, Serie C 22-23)","Z. Szilvasi (20, Sant Julià, Andorra Primera Divisió 22-23)",56.093306618111214
"D. Giampaolo (27, Recanatese, Serie C 22-23)","A. Jakobsen (24, Fredericia, Danish 1. Division 22-23)",66.04621031935197
"D. Giampaolo (27, Recanatese, Serie C 22-23)","L. Kjerrumgaard (20, Nykøbing, Danish 1. Division 22-23)",44.14577593123116
"D. Giampaolo (27, Recanatese, Serie C 22-23)","M. Rajović (23, Kalmar, Allsvenskan 2023)",45.85020088053063
"D. Giampaolo (27, Recanatese, Serie C 22-23)","H. Wright (25, Antalyaspor, Süper Lig 22-23)",63.26939081064399
