Player 1,Player 2,Similarity
"G. Engvall (27, Värnamo, Allsvenskan 2023)","Kukula (30, Sporting Covilhã, Portugal Segunda Liga 22-23)",45.69802128372532
"G. Engvall (27, Värnamo, Allsvenskan 2023)","S. Kostov (31, Lokomotiv Sofia 1929, Bulgarian First League 22-23)",47.648723123552365
"G. Engvall (27, Värnamo, Allsvenskan 2023)","C. Strandberg (27, Al Sailiya, Qatari Stars League 22-23)",66.16902886254381
"G. Engvall (27, Värnamo, Allsvenskan 2023)","K. Isa (31, Oita Trinita, J2 2023)",39.39274955998812
"G. Engvall (27, Värnamo, Allsvenskan 2023)","M. Estigarribia (28, Atlético Tucumán, Argentinian Primera División 2023)",35.8018580066688
"G. Engvall (27, Värnamo, Allsvenskan 2023)","A. Rebić (29, Milan, Serie A 22-23)",51.46634319985806
"G. Engvall (27, Värnamo, Allsvenskan 2023)","W. Ali (24, Vendsyssel, Danish 1. Division 22-23)",77.0045268689847
"G. Engvall (27, Värnamo, Allsvenskan 2023)","A. Crnac (19, Slaven Belupo, 1. HNL 22-23)",68.13159087996893
"G. Engvall (27, Värnamo, Allsvenskan 2023)","F. Stojiljković (23, Sion, Swiss Super League 22-23)",59.30952199748688
"G. Engvall (27, Värnamo, Allsvenskan 2023)","D. Charles (27, Bolton Wanderers, League One 22-23)",68.90597291258334
"G. Engvall (27, Värnamo, Allsvenskan 2023)","R. López (29, Al Batin, Saudi Professional League 22-23)",46.36870955513209
"G. Engvall (27, Värnamo, Allsvenskan 2023)","J. Matt (33, Walsall, League Two 22-23)",23.35826521090884
"G. Engvall (27, Värnamo, Allsvenskan 2023)","Francis Ferrón (33, CD Badajoz, Primera División RFEF 22-23)",45.12694558067246
"G. Engvall (27, Värnamo, Allsvenskan 2023)","A. Keena (24, Cheltenham Town, League One 22-23)",48.39479430850582
"G. Engvall (27, Värnamo, Allsvenskan 2023)","P. Bamford (29, Leeds United, Premier League 22-23)",62.71322513383575
"G. Engvall (27, Värnamo, Allsvenskan 2023)","R. Pollero (26, Bellinzona, Swiss Challenge League 22-23)",37.59878533843398
"G. Engvall (27, Värnamo, Allsvenskan 2023)","D. Paulevici (28, Dumbrăviţa, Romanian Liga II 22-23)",50.38074669409496
"G. Engvall (27, Värnamo, Allsvenskan 2023)","A. Magrassi (30, Cittadella, Serie B 22-23)",47.11287310773558
"G. Engvall (27, Värnamo, Allsvenskan 2023)","J. Martínez (28, Rayo Majadahonda, Primera División RFEF 22-23)",55.46872206817044
"G. Engvall (27, Värnamo, Allsvenskan 2023)","N. Lukić (30, Honvéd, NB I 22-23)",46.29350273788518
"G. Engvall (27, Värnamo, Allsvenskan 2023)","A. Vellios (31, PEC Zwolle, Eerste Divisie 22-23)",38.254573825722005
